method,threshold,sensitivity,specificity,pct_suitable
max_sens_spec,0.5926622606904768,0.7347231270358306,0.49839999999999995,28.57285943223443
p10_training_presence,0.36870115661453184,,,40.47523656898657
equal_interval_0.6,0.6,,,28.117845695970693
