bg_n,prevalence,algorithm,mean_auc,sd_auc
5000,0.7542997542997543,MaxEnt,0.6974877883181788,0.023552619603829695
5000,0.7542997542997543,GLM,0.6932900671869552,0.016302291429222935
10000,0.6055226824457594,MaxEnt,0.7032265495238944,0.029569120729082743
10000,0.6055226824457594,GLM,0.7004408779745719,0.019467019669934253
20000,0.43422913719943423,MaxEnt,0.5496472551113745,0.1267232160949062
20000,0.43422913719943423,GLM,0.5155539767339956,0.15862486867885744
50000,0.23488905891354248,MaxEnt,0.5758875598633001,0.19720395486465755
50000,0.23488905891354248,GLM,0.5195050029056101,0.2350994805409476
