algorithm,mean_auc,sd_auc,mean_boyce,sd_boyce
MaxEnt,0.7034239593422976,0.030261631789848104,0.9363636363636363,0.10303030303030303
GLM,0.7005008027211876,0.022499830166454945,0.9818181818181817,0.02099455524325911
RF,0.6511769419972866,0.04411859847599371,0.9333333333333332,0.0854237354014787
GBM,0.6328730238624319,0.03945705519887243,0.903030303030303,0.05510376443226607
