fold,n_train,n_test,n_test_occ,n_test_bg,test_auc,test_boyce
1,19709,5641,3515,2126,0.7213854345507561,0.9878787878787878
2,19910,5440,3187,2253,0.6675226184492566,0.43030303030303024
3,23733,1617,1057,560,0.7310785241248816,0.8303030303030302
4,12698,12652,7591,5061,0.6533405221415318,0.9393939393939393
