lon,lat,bio_10,bio_11,bio_15,bio_18,bio_2,bio_3,bio_8
10.730826,59.312914,15.855555534362793,-1.7055555582046509,26.591506958007812,192.0,7.006944179534912,26.391504287719727,7.152777671813965
9.456583,60.431285,13.953333854675293,-7.016666412353516,35.756141662597656,229.0,9.380000114440918,29.018686294555664,13.953333854675293
10.375811,59.626134,15.35303020477295,-2.5833334922790527,28.1055850982666,229.0,6.460606098175049,24.531124114990234,6.1530303955078125
11.101695,59.592691,15.02733325958252,-2.9806666374206543,27.33916664123535,229.0,7.567666530609131,27.558874130249023,5.944000244140625
10.572111,59.943853,15.246000289916992,-3.491999864578247,28.379304885864258,226.0,7.144333362579346,25.806724548339844,5.572000026702881
10.427662,61.091078,14.973333358764648,-6.190000057220459,34.23329544067383,228.0,7.98900032043457,25.807598114013672,14.973333358764648
13.622313,68.152013,11.66319465637207,-0.34722229838371277,39.55249786376953,267.0,5.671180725097656,28.80599594116211,3.2472221851348877
10.618482,59.896515,16.13888931274414,-2.845238208770752,27.61357879638672,217.0,7.288095474243164,25.870519638061523,6.372222423553467
8.279619,62.927088,13.377333641052246,0.6033332943916321,29.780414581298828,254.0,5.449333190917969,28.50069808959961,3.7179999351501465
10.107718,59.113656,16.406665802001953,-1.7053333520889282,29.86777687072754,237.0,5.054666996002197,20.736244201660156,7.261333465576172
7.885016,58.138891,14.692667007446289,-0.12600000202655792,34.75656509399414,298.0,5.834666728973389,26.19731903076172,7.665333271026611
9.033997,58.743124,15.607999801635742,-1.9019999504089355,29.75037384033203,262.0,6.5269999504089355,25.56399917602539,6.883999824523926
9.197626,59.571009,15.517333030700684,-3.9693334102630615,30.847728729248047,222.0,8.173666954040527,27.869840621948242,10.518667221069336
11.263149,59.98859,14.687333106994629,-4.447999954223633,27.107582092285156,232.0,8.024666786193848,27.440385818481445,4.941999912261963
11.978262,60.182366,14.160666465759277,-5.526666641235352,26.941669464111328,243.0,8.48799991607666,28.128314971923828,9.12066650390625
11.44636,64.01666,14.355555534362793,-1.836111068725586,25.171415328979492,252.0,5.74097204208374,24.5166072845459,5.913888931274414
11.385652,59.140217,15.197333335876465,-1.7380000352859497,24.804262161254883,217.0,6.797333240509033,26.444650650024414,6.785999774932861
11.115223,59.306072,15.68933391571045,-1.8506667613983154,24.9112606048584,212.0,6.9163336753845215,26.150686264038086,6.989333152770996
10.4336,61.127877,14.17733383178711,-6.684000015258789,34.090904235839844,233.0,7.848666667938232,25.666011810302734,14.17733383178711
10.274328,59.702479,15.547222137451172,-3.152083396911621,28.75093650817871,234.0,6.873610973358154,25.082359313964844,5.945138931274414
10.860488,60.093047,14.555999755859375,-4.469333648681641,26.554046630859375,254.0,7.453666687011719,26.09096336364746,4.835333347320557
11.135238,59.290997,15.923999786376953,-1.6686667203903198,24.78997230529785,207.0,7.0329999923706055,26.495628356933594,7.134000301361084
10.118587,59.034937,16.67738151550293,-1.5214285850524902,29.5679874420166,223.0,5.067857265472412,20.77598762512207,7.579761981964111
6.821339,59.835204,9.783332824707031,-5.569999694824219,33.72417449951172,356.0,5.931333065032959,25.623523712158203,-1.527999997138977
10.163045,59.563037,15.548666000366211,-3.114000082015991,28.787715911865234,243.0,6.61799955368042,24.525644302368164,5.936666488647461
8.345583,58.198447,15.136666297912598,0.19666661322116852,32.30039596557617,225.0,6.512499809265137,27.855003356933594,8.141666412353516
10.777448,59.906173,16.09420394897461,-2.6318840980529785,28.042495727539062,214.0,7.42318868637085,26.372156143188477,11.082609176635742
